date,species,count,stage
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,INCARNATA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,SYRIACA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
6/23/21,TUBEROSA,0,NA
